Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Bwd PSH Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Protocol_0,Protocol_6,Protocol_17
192.168.1.17:60119-162.159.200.123:123-17,192.168.1.17,60119,162.159.200.123,123,17,2025-06-14 18:47:16,27287.721633911133,1,1,90,90,90,90,90,0,90,90,90,0,6596.373358496501,73.29303731662779,27287.721633911133,0,27287.721633911133,27287.721633911133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,36.646518658313894,36.646518658313894,90,90,90,0.0,0,0,0,0,0,0,0,0,0,1.0,90,90,90,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
192.168.1.17:63823-23.48.52.231:80-6,192.168.1.17,63823,23.48.52.231,80,6,2025-06-14 18:47:15,21192.78907775879,2,1,108,54,54,54,54,0.0,54,54,54,0,7644.109484863144,141.55758305302118,10596.394538879395,13565.047486928266,20188.331604003906,1004.4574737548828,21192.78907775879,21192.78907775879,0,21192.78907775879,21192.78907775879,0,0,0,0,0,0,0,0,0,80,40,94.37172203534746,47.18586101767373,54,54,54,0.0,0,2,0,0,0,3,0,0,0,0.5,54,54,54,0,0,0,0,0,0,0,0,0,0,253,501,2,40,0,0,0,0,0,0,0,0,0,1,0
192.168.1.17:63825-113.171.230.33:80-6,192.168.1.17,63825,113.171.230.33,80,6,2025-06-14 18:47:15,20188.331604003906,2,1,108,54,54,54,54,0.0,54,54,54,0,8024.437243138552,148.60068968775096,10094.165802001953,12857.486194127378,19185.781478881836,1002.5501251220703,20188.331604003906,20188.331604003906,0,20188.331604003906,20188.331604003906,0,0,0,0,0,0,0,0,0,80,40,99.06712645850064,49.53356322925032,54,54,54,0.0,0,2,0,0,0,3,0,0,0,0.5,54,54,54,0,0,0,0,0,0,0,0,0,0,253,501,2,40,0,0,0,0,0,0,0,0,0,1,0
192.168.1.17:63824-142.250.197.131:80-6,192.168.1.17,63824,142.250.197.131,80,6,2025-06-14 18:47:15,64610.958099365234,2,1,108,54,54,54,54,0.0,54,54,54,0,2507.3146222481346,46.43175226385434,32305.479049682617,44264.306180081345,63605.07011413574,1005.8879852294922,64610.958099365234,64610.958099365234,0,64610.958099365234,64610.958099365234,0,0,0,0,0,0,0,0,0,80,40,30.95450150923623,15.477250754618115,54,54,54,0.0,0,2,0,0,0,3,0,0,0,0.5,54,54,54,0,0,0,0,0,0,0,0,0,0,254,1053,2,40,0,0,0,0,0,0,0,0,0,1,0
192.168.1.17:53801-172.217.194.84:443-17,192.168.1.17,53801,172.217.194.84,443,17,2025-06-14 18:47:15,195128.9176940918,15,19,9998,6822,1292,73,666.5333333333333,606.3417078402794,1292,66,359.05263157894734,469.648269533726,86199.42240631452,174.24377894260962,5912.99750588157,10615.596107145677,34216.64237976074,0.0,163288.11645507812,11663.436889648438,18780.94306128397,57144.4034576416,0.0,157423.2578277588,8745.7365459866,16666.791715553427,63825.368881225586,0.0,0,0,0,0,420,532,76.8722554158572,97.37152352675244,66,1292,494.70588235294116,547.9952183717379,300298.7593582888,0,0,0,0,0,0,0,0,1.2666666666666666,494.70588235294116,666.5333333333333,359.05263157894734,0,0,0,0,0,0,0,0,0,0,-1,-1,15,0,0,0,0,0,0,0,0,0,0,0,1
192.168.1.17:63842-192.168.1.1:53-6,192.168.1.17,63842,192.168.1.1,53,6,2025-06-14 18:47:15,71471.6911315918,7,6,429,425,91,54,61.285714285714285,13.816828938101605,142,54,70.83333333333333,35.18190822946741,11948.786806060565,181.8901972819524,5955.974260965983,11632.673267441127,40791.74995422363,0.0,71471.6911315918,11911.948521931967,22383.748673144608,57459.354400634766,0.0,68460.70289611816,13692.140579223633,16554.274542718187,42018.17512512207,1228.33251953125,2,0,2,0,292,252,97.94087545951284,83.94932182243957,54,142,65.6923076923077,25.213702013603026,635.7307692307693,2,2,0,4,12,0,0,0,0.8571428571428571,65.6923076923077,61.285714285714285,70.83333333333333,0,0,0,0,0,0,0,0,0,0,65535,29200,7,40,0,0,0,0,0,0,0,0,0,1,0
192.168.1.17:63841-192.168.1.1:53-6,192.168.1.17,63841,192.168.1.1,53,6,2025-06-14 18:47:15,73755.26428222656,7,6,429,391,91,54,61.285714285714285,13.816828938101605,108,54,65.16666666666667,21.507363080272455,11117.85047454033,176.25860508417597,6146.27202351888,12032.755478159566,42849.54071044922,0.0,73755.26428222656,12292.54404703776,22191.865716135067,57383.060455322266,1007.3184967041016,69462.77618408203,13892.555236816406,18082.210069583714,45259.47570800781,0.0,2,0,2,0,292,252,94.90847966071013,81.35012542346583,54,108,63.07692307692308,17.09513351055176,292.2435897435897,2,2,0,4,12,0,0,0,0.8571428571428571,63.07692307692308,61.285714285714285,65.16666666666667,0,0,0,0,0,0,0,0,0,0,65535,29200,7,40,0,0,0,0,0,0,0,0,0,1,0
140.82.113.25:443-192.168.1.17:63696-6,140.82.113.25,443,192.168.1.17,63696,6,2025-06-14 18:47:13,246202.7072906494,2,1,134,84,80,54,67,18.384776310850235,84,84,84,0,885.4492397707256,12.185081281248516,123101.3536453247,172034.50048958513,244748.11553955078,1454.5917510986328,246202.7072906494,246202.7072906494,0,246202.7072906494,246202.7072906494,0,0,0,0,0,1,0,1,0,80,40,8.123387520832345,4.061693760416173,54,84,72.66666666666667,16.289055630494154,265.3333333333333,0,0,0,2,3,0,0,0,0.5,72.66666666666667,67,84,0,0,0,0,0,0,0,0,0,0,107,254,2,40,0,0,0,0,0,0,0,0,0,1,0
192.168.1.17:1948-130.158.6.68:5004-17,192.168.1.17,1948,130.158.6.68,5004,17,2025-06-14 18:47:14,1404972.0764160156,2,2,86,138,43,43,43,0.0,69,69,69,0.0,159.43377363869618,2.847031672119575,468324.0254720052,671074.3300204686,1243213.8919830322,80713.27209472656,1324258.804321289,1324258.804321289,0,1324258.804321289,1324258.804321289,1323927.1640777588,1323927.1640777588,0,1323927.1640777588,1323927.1640777588,0,0,0,0,56,56,1.4235158360597875,1.4235158360597875,43,69,56,15.01110699893027,225.33333333333334,0,0,0,0,0,0,0,0,1.0,56,43,69,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,1
142.250.71.234:443-192.168.1.17:58347-17,142.250.71.234,443,192.168.1.17,58347,17,2025-06-14 18:47:21,8194285.63117981,11,12,791,856,120,67,71.9090909090909,15.952771204117141,75,71,71.33333333333333,1.1547005383792515,200.99372588783748,2.8068340591501286,372558.669610457,721907.0216475357,3202243.5665130615,15514.850616455078,8196290.731430054,819629.0731430054,1050000.7948694385,3522245.168685913,271494.62699890137,8025572.5383758545,729597.503488714,951046.8661708834,3267271.5187072754,164798.25973510742,0,0,0,0,308,336,1.3423988978544095,1.4644351612957194,67,120,71.6086956521739,10.790311860160747,116.43083003952569,0,0,0,0,0,0,0,0,1.0909090909090908,71.6086956521739,71.9090909090909,71.33333333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,11,0,0,0,0,0,0,0,0,0,0,0,1
